,Bedrooms,Bathrooms,Area,Price,Locality
114,3,3,1800,32000,"Khairatabad,NH"
115,2,1,1314,33000,"MyHomeAvatar,Myhomeavatar"
116,2,1,890,8000,Medipally
117,3,1,1843,41000,"MyHomeAvatar,Narsingi,OuterRingRoad"
118,3,2,1650,25000,"OldNallakunta,NewNallakunta"
119,3,2,1200,12000,"ParamountResidency,Nagaram"
120,3,1,1477,18000,"Sadbhavana,Ghatkesar,NH"
121,3,2,1100,13000,"JanapriyaLakefront,Sainikpuri"
122,3,2,2000,25000,SuchitraCircle
123,3,2,2540,38000,"NCCUrbanOne,Narsingi,OuterRingRoad"
124,2,2,1150,16000,"GandhiNagar,Kavadiguda,NH"
125,2,1,1250,10500,"Beeramguda,RamachandraPuram,NH"
126,3,2,2200,41000,GachibowliPhase
127,2,2,1120,19000,"BasheerBagh,NH"
128,3,2,1608,20000,"Manchirevula,OuterRingRoad"
129,3,2,2000,20000,OsmanNagar
130,2,1,1200,26000,"Ameerpet,NH"
131,2,2,1000,20000,BandariLayout
132,2,1,1100,18500,"AlHasnathColony,ToliChowki"
133,2,1,950,35000,Shaikpet
134,3,1,1900,41000,"NCLSindhu,DandamudiEnclave,Jeedimetla"
135,3,2,2045,30000,Shaikpet
136,3,2,1800,41000,"Nallagandla,Serilingampally"
137,3,1,1368,21000,Gajularamaram
138,3,3,1477,18000,Gowlidoddy
139,3,2,1500,32500,"KukatpallyHousingBoardColony,NH"
140,3,2,1450,32000,"KavuriHills,Madhapur"
141,3,2,2347,45000,"SMRVinayIconia,Kondapur"
142,3,3,2800,45000,"TrendsetWinz,Gachibowli,OuterRingRoad"
143,3,1,1650,41000,"Gachibowli,OuterRingRoad"
144,3,2,1865,31500,"InduFortuneFieldsapartments,HitechCity"
145,3,2,2200,24000,"OldMalakpet,NH"
146,3,2,3000,45000,"Hafeezpet,NH"
147,2,2,1000,13000,"TempleAlwal,Secunderabad,SiddipetRoad"
148,2,1,1300,20000,"Punjagutta,NH"
149,2,2,1300,18000,"SamathaNagar,Kukatpally,NH"
150,3,1,1375,45000,"LancoHills,Manikonda,OuterRingRoad"
151,3,1,1800,20000,"Narsingi,OuterRingRoad"
152,3,2,2000,36000,"Domalguda,HimayathNagar,NH"
153,3,2,1600,22000,"NCLGanga,Kompally"
154,3,2,2100,23000,"PragathiNagar-Ramanthpur,NH"
155,3,3,1789,15500,"Saket,Secunderabad"
156,3,1,1450,12000,Sainikpuri
157,4,3,3380,45000,"NCCUrbanOne,Narsingi,OuterRingRoad"
158,3,1,2000,35000,"Lakdikapul,NH"
159,2,3,1100,15000,VidyaNagar
160,3,1,1690,32000,"AparnaHillparkGardenia,Chandanagar,NH"
161,3,2,1750,22000,"KalyanPuri,Secunderabad"
162,2,3,1050,27000,NehruNagar-WestMarredpally
163,2,2,800,10000,SangareddyDistrict
164,2,1,1070,22000,"SamataColony,ToliChowki"
165,3,1,1252,12000,Dammaiguda
166,3,3,1150,16000,"TilakNagar,NewNallakunta,NH"
167,3,2,2400,22000,"Tellapur,OuterRingRoad"
168,3,2,1590,39000,"AdityaImperialHeights,Hafeezpet,NH"
169,3,2,1700,18000,Karwansahu
170,3,3,1550,50000,NewMallepally
171,2,1,1314,33000,"MyHomeAvatar,Narsingi,OuterRingRoad"
172,3,2,1000,18500,MayurMarg
173,3,3,1950,48000,NanakramGuda
